ID,post_type,post_status,post_title
371599,product,draft,"Test Product"
371495,page,draft,"NC State Mah Jongg Sets"
371478,product,publish,"Preorder: Meredith College Mah Jongg Table Mat"
371477,product,publish,"Preorder: East Carolina University Mah Jongg Table Mat"
371435,page,publish,Licensing
371430,page,publish,"Coming Soon"
371418,product,publish,"Preorder: NC State University Mah Jongg Table Mat"
371337,page,publish,"Refund Policy"
371332,page,publish,Contact
371328,page,publish,"Our Story"
371319,page,publish,"Privacy Policy"
371313,page,publish,"Terms of Service"
371294,product,publish,"Preorder: Meredith College Mah Jongg Tiles and Acrylic Box Set"
371293,product,publish,"Preorder: East Carolina University Mah Jongg Tiles and Acrylic Box Set"
371255,product,publish,"Preorder: NC State University Mah Jongg Tiles and Acrylic Box Set"
371250,page,draft,"Refund and Returns Policy"
371249,page,publish,"My account"
371248,page,publish,Checkout
371247,page,publish,Cart
371246,page,publish,Shop
371192,page,publish,Home
371163,page,draft,"Code Layouts"
