name,status,update,version,update_version,auto_update
sg-ai-studio,active,none,1.2.9,,off
google-listings-and-ads,inactive,none,3.9.0,,off
gravityforms,active,none,3.0.3,,on
ds-gravity-forms-for-divi,active,none,1.0.6,,off
wordpress-popup,inactive,none,7.8.14.1,,off
loginizer,active,none,2.1.0,,on
worker,active,none,4.9.38,,on
omnisend-connect,active,none,1.22.2,,off
sg-security,active,none,1.6.5,,on
wordpress-starter,inactive,none,3.4.8,,off
google-site-kit,active,none,1.186.0,,on
instagram-feed,active,none,6.12.0,,off
sg-cachepress,active,none,7.8.1,,on
stripe-tax-for-woocommerce,inactive,none,2.0.5,,off
updraftplus,active,none,2.26.7.26,,on
woocommerce,active,none,11.0.1,,off
woocommerce-paypal-payments,inactive,none,4.1.2,,off
woocommerce-shipping,active,available,2.3.14,2.3.15,off
woocommerce-services,active,available,3.6.12,3.6.13,off
woocommerce-payments,active,none,11.0.1,,off
insert-headers-and-footers,active,none,2.3.8,,on
wp-mail-smtp,inactive,none,4.9.0,,off
wp-mail-smtp-pro,active,none,4.9.0,,off
wordpress-seo,active,none,28.3,,on
